,Open,High,Low,Close,Volume,P_news_pos,P_news_neg,P_op_pos,P_op_neg,Next_Open
47,20.256071,20.428572,20.092857,20.410713,272826400,0.0,0.0,0.0,0.0,20.567858
48,20.567858,21.071428,20.489643,21.054644,630579600,0.0,0.0,0.0,0.3333333333333333,21.055357
49,21.055357,21.08643,20.717857,20.885,533330000,0.0,0.0,0.25,0.0,20.616785
50,20.616785,20.921429,20.437857,20.819286,520864400,0.0,0.0,0.0,0.5,20.956785
51,20.956785,21.014286,20.809999,20.902857,391319600,0.0,0.0,1.0,0.0,23.816071
52,23.816071,23.924999,23.428572,23.92107,712233200,0.0,0.0,1.0,0.0,22.484285
53,22.484285,22.692142,22.332144,22.489643,460014800,0.0,0.0,0.2,0.4,19.791071
54,19.791071,19.803572,19.237499,19.386786,515802000,0.0,0.0,0.6666666666666666,0.3333333333333333,19.563213
55,19.563213,19.571428,19.1525,19.25,487144000,0.0,0.0,0.0,0.3333333333333333,18.176071
56,18.176071,18.571428,17.901072,18.529642,757607200,0.0,0.0,0.0,0.75,18.75
57,18.75,19.103571,18.580357,19.067858,625685200,0.0,0.0,0.0,0.75,18.981071
58,18.981071,19.060715,18.767857,18.796785,449369200,0.0,0.0,0.3333333333333333,0.3333333333333333,18.928572
59,18.928572,18.935715,18.531429,18.633215,481689600,0.0,0.0,0.0,0.5,18.583929
60,18.583929,18.723213,18.525356,18.577499,175753200,0.0,0.0,0.0,0.0,18.535713
61,18.535713,18.552143,18.254286,18.321428,302436400,0.0,0.0,0.0,0.5,18.340714
62,18.340714,18.4375,18.023571,18.395,455120400,0.0,0.0,0.0,0.3333333333333333,18.224644
63,18.224644,18.374287,18.147142,18.199642,354278400,0.0,0.0,0.0,1.0,18.233213
64,18.233213,19.121429,18.178572,19.006071,659492400,0.0,0.0,0.3333333333333333,0.3333333333333333,15.642857
65,15.642857,15.649286,15.356429,15.373929,552448400,0.0,0.0,0.6666666666666666,0.0,15.782143
66,15.782143,15.846429,15.276429,15.318214,389732000,0.0,0.0,0.6666666666666666,0.0,14.381786
67,14.381786,14.723929,14.329286,14.615,391053600,0.0,0.0,0.6666666666666666,0.0,16.276787
